date,max_temp,min_temp
2026-05-04,25.2,16.3
2026-05-05,27.1,16.3
2026-05-06,26.6,18.9
2026-05-07,22.3,15.8
2026-05-08,28.1,13.1
2026-05-09,32.9,17.8
2026-05-10,30.7,17.4
2026-05-11,31.4,17.2
2026-05-12,32.7,18.3
2026-05-13,27.4,17.4
2026-05-14,26.9,15.3
