date,max_temp,min_temp,avg_temp
2026-05-08,20.9,8.8,14.85
2026-05-09,24.8,11.3,18.05
2026-05-10,18.1,12.1,15.100000000000001
2026-05-11,15.0,8.5,11.75
2026-05-12,16.0,6.2,11.1
2026-05-13,15.5,9.5,12.5
2026-05-14,11.7,7.8,9.75
2026-05-15,13.5,5.3,9.4
